page_number,extracted_urls
7,/-/es/Chromebook-pulgadas-integrados-almacenamiento-11a-na0010nr/dp/B08HJT1BKQ
7,/-/es/MacBook-pulgadas-port%C3%A1til-i5-5250U-principios/dp/B07FTQMMGH
7,/-/es/NVIDIA-Jetson-Xavier-desarrolladores-812674024318/dp/B086874Q5R
7,/-/es/MatrixPad-S20-Procesador-Octa-Core-Bluetooth/dp/B083J7DVY1
7,/-/es/ASUS-Chromebook-Flip-C434-procesador/dp/B07Q2RB6BY
7,/-/es/Microsoft-Quad-Core-i5-1035G4-reciente-PVQ-00001/dp/B086H458K2
7,/-/es/pulgadas-Bluetooth-educaci%C3%B3n-parental-preinstalado/dp/B087P29Y6P
7,/-/es/ThinkCentre-M93p-Business-Desktop-renovado/dp/B07PV4F3Q9
7,/-/es/Apple-Cellular-Space-Modelo-Renovado/dp/B078J5K6MD
7,/-/es/A115-31-C2Y3-pantalla-802-11ac-duraci%C3%B3n-Microsoft/dp/B086XXW87C
7,/-/es/Samsung-Galaxy-Lite-Tablet-Oxford/dp/B08G8T6G78
8,/-/es/Port%C3%A1til-procesador-i7-1065G7-generaci%C3%B3n-Wireless-AC/dp/B081K9QZDF
8,/-/es/HP-15-Athlon-Gold/dp/B08RCW9PNH
8,/-/es/Voyager-Android-Tablet-almacenamiento-RCT6876Q22N00/dp/B08MT48RFX
8,/-/es/Apple-iPad-generaci%C3%B3n-Wi-Fi-128/dp/B07BKBB4N5
8,/-/es/Ideapad-pantalla-procesador-i5-9300H-81LK00HDUS/dp/B07VC55LF5
8,/-/es/Dell-Latitude-7480-reacondicionado-certificado/dp/B077FGWRY4
8,/-/es/FX505DT-Laptop-procesador-R5-3550H-gr%C3%A1ficos/dp/B07VBK4SYS
8,/-/es/MatrixPad-S8-Kids-Tablet-preinstalado/dp/B08DHRX9JN
8,/-/es/Skytech-Chronos-Gaming-PC-Desktop/dp/B08WVWPW14
8,/-/es/iPad-6/dp/B07HRYDNLZ
8,/-/es/Acer-Chromebook-pantalla-integrado-CB314-1H-C884/dp/B0858N8CGX
8,/-/es/C523NA-DH02/dp/B07HS2RCKG
8,/-/es/Samsung-Chromebook-Plus-port%C3%A1til-XE520QAB-K03US/dp/B07J215RPT
8,/-/es/Dell-Inspiron-retroiluminaci%C3%B3n-procesador-Wireless-AC/dp/B081FGHNBL
8,/-/es/Aspire-Laptop-pantalla-pulgadas-Ryzen/dp/B07Z11X58J
8,/-/es/NVIDIA-Jetson-Xavier-para-desarrolladores/dp/B083ZL3X5B
8,/-/es/VCT9T48Q34RBM-Quad-Core-almacenamiento-Bluetooth-desmontable/dp/B08PHL7NLF
8,/-/es/A515-56-50RS-pantalla-i5-1135G7-digitales-retroiluminado/dp/B08PG4W932
8,/-/es/dp/B086MF1Q88
8,/-/es/tel%C3%A9fono-llamadas-desbloqueado-SM-T295-internacional/dp/B07XF94PHV
8,/-/es/HP-14-LAPTOP/dp/B08NHSVG6W
8,/-/es/PriorPad-pulgadas-pantalla-almacenamiento-Bluetooth/dp/B08P4WWH2Q
8,/-/es/Microsoft-Surface-Duo-desbloqueado-Glacier/dp/B08J3N1R8C
8,/-/es/NanoEdge-i7-1165G7-NumberPad-Thunderbolt-UX425EA-EH71/dp/B08KH9SX3G
9,/-/es/K105/dp/B07VB2ZWNC
9,/-/es/Apple-iPad-Mini-4-restaurado/dp/B0792D11TB
9,/-/es/Windows-FWIN232-Fusion5-almacenamiento-Professional/dp/B08N1J45YP
9,/-/es/5502/dp/B08NH5R398
9,/-/es/Lenovo-ThinkPad-Ordenador-port%C3%A1til-i5-10210U/dp/B08286CQNH
9,/-/es/Chromebook-pulgadas-Mediatek-Bluetooth-tarjetas/dp/B07Q36QYGW
9,/-/es/SF314-59-75QC/dp/B08JQJ5RKK
9,/-/es/Max10-Procesador-Octa-Core-almacenamiento-tabletas/dp/B086PNGFGT
9,/-/es/ASUS-E410-Intel-Celeron-N4020/dp/B08R6B218S
9,/-/es/SM-T290NZSCXAR/dp/B07YN8ZVJH
9,/-/es/MacBook-MJVE2LL-Laptop-1-6GHz-Renovado/dp/B079H86JGH
9,/-/es/Performance-Business-Computer-inal%C3%A1mbrico-Professional/dp/B074T2L4CC
9,/-/es/ASUS-VivoBook-retroiluminado-port%C3%A1til-Premium/dp/B08V1NQ8S9
9,/-/es/Lenovo-Flex-3-Chromebook/dp/B08NCVDCD6
9,/-/es/HP/dp/B08R8T15ZM
9,/-/es/GS66-Stealth-10SE-442-port%C3%A1til-i7-10875H/dp/B0895Q3HW5
9,/-/es/Intel-generaci%C3%B3n-i3-1005G1-3-4GHz-port%C3%A1til/dp/B089T6C53P
9,/-/es/Port%C3%A1til-Latitude-E7470-pulgadas-i5-6300U/dp/B07GCRHS5V
9,/-/es/Apple-iPad-10-2-pulgadas-Wi-Fi/dp/B084BYDBNK
9,/-/es/Intel-NUC-Mainstream-Kit-NUC8i5BEH/dp/B07GX59NY8
9,/-/es/MatrixPad-S8-pulgadas-almacenamiento-procesador/dp/B0868RQYTC
9,/-/es/81WA00B1US-procesador-retroiluminada-pantalla-antirreflejos/dp/B08NHWVWYR
9,/-/es/HP-EliteBook-840-G3-Pantalla/dp/B07WJVPGYP
9,/-/es/Apple-MacBook-Air-renovado/dp/B08156M1LH
10,/-/es/Lenovo-Legion-Gaming-7-4800H-Phantom/dp/B08Q7BL7N1
10,/-/es/Y88X-Pro-pulgadas-preinstalado-contenido/dp/B07SKW93H7
10,/-/es/Celeron-ordenador-Graphics-Ethernet-Bluetooth/dp/B07KSV7XZY
10,/-/es/HP-Chromebook-Computadora-port%C3%A1til-pulgadas/dp/B08529LPLZ
10,/-/es/EliteDesk-sobremesa-Quad-Core-Professional-multiling%C3%BCe/dp/B08BQ5GZ4F
10,/-/es/Voyager-Android-Tablet-Google-almacenamiento/dp/B08P7WCRDM
10,/-/es/port%C3%A1til-13-3-pulgadas-Personal-tradicional-miniport%C3%A1til/dp/B07P6NRTNW
10,/-/es/Lenovolaptop/dp/B08WHY2HNS
10,/-/es/Samsung-Galaxy-Active-resistente-Tablet/dp/B07YNJD8J3
10,/-/es/ST-Chronosmini-B-0068/dp/B08CV9KYQT
10,/-/es/Samsung-Galaxy-Wi-Fi-SM-T510-Tablet/dp/B07NR7NXQ6
10,/-/es/MSI-GL63-8SC-059-pulgadas-videojuegos/dp/B0843JCV17
10,/-/es/Q3-Pro-procesador-almacenamiento-certificaci%C3%B3n/dp/B08FC8SLB3
10,/-/es/Lenovo-Yoga-C740-14-FHD-Touch/dp/B08122HHX9
10,/-/es/Computadora-port%C3%A1til-Microsoft-Surface-pulgadas/dp/B07YNK3R68
10,/-/es/ordenador-Quad-Core-procesador-81W1009DUS-Compatible/dp/B08HLD3N5C
10,/-/es/105-blanc/dp/B08BNPH4V1
10,/-/es/HP-ordenador-port%C3%A1til-generaci%C3%B3n-DVD-Writer/dp/B08PCN3MWX
10,/-/es/procesador-i3-5005U-Ethernet-encendido-autom%C3%A1tico/dp/B085RLQN5Z
10,/-/es/1920x1200-procesador-octa-core-almacenamiento-Bluetooth/dp/B08RBL142P
10,/-/es/HP-Ordenador-generaci%C3%B3n-Dual-Core-i3-1005G1/dp/B0829VH8Y7
10,/-/es/GP66-Leopard-10UH-244-i7-10870H-RTX3080/dp/B08SVXYZVX
10,/-/es/EliteDesk-Desktop-3-4Ghz-Windows-Renovado/dp/B07NGVQLD3
10,/-/es/82B8002UUX/dp/B08RMPD837
11,/-/es/Apple-iPad-Mini-4-restaurado/dp/B01L2VGDZQ
11,/-/es/Port%C3%A1til-i7-10750H-ScreenPad-Celestial-UX581LV-XS74T/dp/B08D941WH6
11,/-/es/S150-81VS0001US-port%C3%A1til-pantalla-Bluetooth/dp/B081ZGN8JQ
